keyword,page_type,category,search_volume,difficulty,template_type,page_type_category,variables
enhance image for etsy,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
enhance image for ebay,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
enhance image for woocommerce,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
enhance image for bigcommerce,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
enhance image for wix,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Wix"", ""use_case"": ""general""}"
enhance image for squarespace,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
enhance image for facebook marketplace,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
enhance image for instagram,functionality,platform_specific,0,0,use_case_template,enhance,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
blur background for shopify,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
blur background for amazon,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
blur background for etsy,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
blur background for ebay,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
blur background for woocommerce,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
blur background for bigcommerce,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
blur background for wix,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Wix"", ""use_case"": ""general""}"
blur background for squarespace,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
blur background for facebook marketplace,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
blur background for instagram,functionality,platform_specific,0,0,use_case_template,blur,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
change background for shopify,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
change background for amazon,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
change background for etsy,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
change background for ebay,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
change background for woocommerce,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
change background for bigcommerce,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
change background for wix,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Wix"", ""use_case"": ""general""}"
change background for squarespace,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
change background for facebook marketplace,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
change background for instagram,functionality,platform_specific,0,0,use_case_template,change_background,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
remove text from image for shopify,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
remove text from image for amazon,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
remove text from image for etsy,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
remove text from image for ebay,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
remove text from image for woocommerce,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
remove text from image for bigcommerce,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
remove text from image for wix,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Wix"", ""use_case"": ""general""}"
remove text from image for squarespace,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
remove text from image for facebook marketplace,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
remove text from image for instagram,functionality,platform_specific,0,0,use_case_template,remove_text,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
remove people from photo for shopify,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
remove people from photo for amazon,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
remove people from photo for etsy,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
remove people from photo for ebay,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
remove people from photo for woocommerce,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
remove people from photo for bigcommerce,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
remove people from photo for wix,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Wix"", ""use_case"": ""general""}"
remove people from photo for squarespace,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
remove people from photo for facebook marketplace,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
remove people from photo for instagram,functionality,platform_specific,0,0,use_case_template,remove_people,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
change color of image for shopify,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
change color of image for amazon,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
change color of image for etsy,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
change color of image for ebay,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
change color of image for woocommerce,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
change color of image for bigcommerce,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
change color of image for wix,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Wix"", ""use_case"": ""general""}"
change color of image for squarespace,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
change color of image for facebook marketplace,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
change color of image for instagram,functionality,platform_specific,0,0,use_case_template,change_color,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
convert image format for shopify,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
convert image format for amazon,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
convert image format for etsy,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
convert image format for ebay,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
convert image format for woocommerce,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
convert image format for bigcommerce,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
convert image format for wix,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Wix"", ""use_case"": ""general""}"
convert image format for squarespace,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
convert image format for facebook marketplace,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
convert image format for instagram,functionality,platform_specific,0,0,use_case_template,convert_format,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
bulk resize images for shopify,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Shopify"", ""use_case"": ""e-commerce""}"
bulk resize images for amazon,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Amazon"", ""use_case"": ""e-commerce""}"
bulk resize images for etsy,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Etsy"", ""use_case"": ""general""}"
bulk resize images for ebay,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Ebay"", ""use_case"": ""general""}"
bulk resize images for woocommerce,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Woocommerce"", ""use_case"": ""general""}"
bulk resize images for bigcommerce,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Bigcommerce"", ""use_case"": ""general""}"
bulk resize images for wix,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Wix"", ""use_case"": ""general""}"
bulk resize images for squarespace,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Squarespace"", ""use_case"": ""general""}"
bulk resize images for facebook marketplace,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Facebook Marketplace"", ""use_case"": ""general""}"
bulk resize images for instagram,functionality,platform_specific,0,0,use_case_template,bulk_resize,"{""platform"": ""Instagram"", ""use_case"": ""general""}"
remove background for ecommerce,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""ecommerce"", ""use_case"": ""ecommerce""}"
remove background for real estate,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""real estate"", ""use_case"": ""real estate""}"
remove background for fashion,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""fashion"", ""use_case"": ""fashion""}"
remove background for jewelry,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""jewelry"", ""use_case"": ""jewelry""}"
remove background for furniture,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""furniture"", ""use_case"": ""furniture""}"
remove background for food and beverage,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""food and beverage"", ""use_case"": ""food and beverage""}"
remove background for beauty,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""beauty"", ""use_case"": ""beauty""}"
remove background for health and wellness,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""health and wellness"", ""use_case"": ""health and wellness""}"
remove background for electronics,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""electronics"", ""use_case"": ""electronics""}"
remove background for home and garden,functionality,industry_specific,0,0,use_case_template,remove_background,"{""industry"": ""home and garden"", ""use_case"": ""home and garden""}"
upscale image for ecommerce,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""ecommerce"", ""use_case"": ""ecommerce""}"
upscale image for real estate,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""real estate"", ""use_case"": ""real estate""}"
upscale image for fashion,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""fashion"", ""use_case"": ""fashion""}"
upscale image for jewelry,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""jewelry"", ""use_case"": ""jewelry""}"
upscale image for furniture,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""furniture"", ""use_case"": ""furniture""}"
upscale image for food and beverage,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""food and beverage"", ""use_case"": ""food and beverage""}"
upscale image for beauty,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""beauty"", ""use_case"": ""beauty""}"
upscale image for health and wellness,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""health and wellness"", ""use_case"": ""health and wellness""}"
upscale image for electronics,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""electronics"", ""use_case"": ""electronics""}"
upscale image for home and garden,functionality,industry_specific,0,0,use_case_template,upscale,"{""industry"": ""home and garden"", ""use_case"": ""home and garden""}"
enhance image for ecommerce,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""ecommerce"", ""use_case"": ""ecommerce""}"
enhance image for real estate,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""real estate"", ""use_case"": ""real estate""}"
enhance image for fashion,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""fashion"", ""use_case"": ""fashion""}"
enhance image for jewelry,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""jewelry"", ""use_case"": ""jewelry""}"
enhance image for furniture,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""furniture"", ""use_case"": ""furniture""}"
enhance image for food and beverage,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""food and beverage"", ""use_case"": ""food and beverage""}"
enhance image for beauty,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""beauty"", ""use_case"": ""beauty""}"
enhance image for health and wellness,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""health and wellness"", ""use_case"": ""health and wellness""}"
enhance image for electronics,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""electronics"", ""use_case"": ""electronics""}"
enhance image for home and garden,functionality,industry_specific,0,0,use_case_template,enhance,"{""industry"": ""home and garden"", ""use_case"": ""home and garden""}"
blur background for ecommerce,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""ecommerce"", ""use_case"": ""ecommerce""}"
blur background for real estate,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""real estate"", ""use_case"": ""real estate""}"
blur background for fashion,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""fashion"", ""use_case"": ""fashion""}"
blur background for jewelry,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""jewelry"", ""use_case"": ""jewelry""}"
blur background for furniture,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""furniture"", ""use_case"": ""furniture""}"
blur background for food and beverage,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""food and beverage"", ""use_case"": ""food and beverage""}"
blur background for beauty,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""beauty"", ""use_case"": ""beauty""}"
blur background for health and wellness,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""health and wellness"", ""use_case"": ""health and wellness""}"
blur background for electronics,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""electronics"", ""use_case"": ""electronics""}"
blur background for home and garden,functionality,industry_specific,0,0,use_case_template,blur,"{""industry"": ""home and garden"", ""use_case"": ""home and garden""}"
change background for ecommerce,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""ecommerce"", ""use_case"": ""ecommerce""}"
change background for real estate,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""real estate"", ""use_case"": ""real estate""}"
change background for fashion,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""fashion"", ""use_case"": ""fashion""}"
change background for jewelry,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""jewelry"", ""use_case"": ""jewelry""}"
change background for furniture,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""furniture"", ""use_case"": ""furniture""}"
change background for food and beverage,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""food and beverage"", ""use_case"": ""food and beverage""}"
change background for beauty,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""beauty"", ""use_case"": ""beauty""}"
change background for health and wellness,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""health and wellness"", ""use_case"": ""health and wellness""}"
change background for electronics,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""electronics"", ""use_case"": ""electronics""}"
change background for home and garden,functionality,industry_specific,0,0,use_case_template,change_background,"{""industry"": ""home and garden"", ""use_case"": ""home and garden""}"
remove background for product photos,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""product photos"", ""image_type"": ""product photos""}"
remove background for portraits,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""portraits"", ""image_type"": ""portraits""}"
remove background for logos,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""logos"", ""image_type"": ""logos""}"
remove background for social media posts,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""social media posts"", ""image_type"": ""social media posts""}"
remove background for print,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""print"", ""image_type"": ""print""}"
remove background for web,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""web"", ""image_type"": ""web""}"
remove background for email marketing,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""email marketing"", ""image_type"": ""email marketing""}"
remove background for presentations,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""presentations"", ""image_type"": ""presentations""}"
remove background for linkedin photos,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""linkedin photos"", ""image_type"": ""linkedin photos""}"
remove background for dating app photos,functionality,use_case_specific,0,0,use_case_template,remove_background,"{""use_case"": ""dating app photos"", ""image_type"": ""dating app photos""}"
upscale image for product photos,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""product photos"", ""image_type"": ""product photos""}"
upscale image for portraits,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""portraits"", ""image_type"": ""portraits""}"
upscale image for logos,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""logos"", ""image_type"": ""logos""}"
upscale image for social media posts,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""social media posts"", ""image_type"": ""social media posts""}"
upscale image for print,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""print"", ""image_type"": ""print""}"
upscale image for web,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""web"", ""image_type"": ""web""}"
upscale image for email marketing,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""email marketing"", ""image_type"": ""email marketing""}"
upscale image for presentations,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""presentations"", ""image_type"": ""presentations""}"
upscale image for linkedin photos,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""linkedin photos"", ""image_type"": ""linkedin photos""}"
upscale image for dating app photos,functionality,use_case_specific,0,0,use_case_template,upscale,"{""use_case"": ""dating app photos"", ""image_type"": ""dating app photos""}"
enhance image for product photos,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""product photos"", ""image_type"": ""product photos""}"
enhance image for portraits,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""portraits"", ""image_type"": ""portraits""}"
enhance image for logos,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""logos"", ""image_type"": ""logos""}"
enhance image for social media posts,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""social media posts"", ""image_type"": ""social media posts""}"
enhance image for print,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""print"", ""image_type"": ""print""}"
enhance image for web,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""web"", ""image_type"": ""web""}"
enhance image for email marketing,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""email marketing"", ""image_type"": ""email marketing""}"
enhance image for presentations,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""presentations"", ""image_type"": ""presentations""}"
enhance image for linkedin photos,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""linkedin photos"", ""image_type"": ""linkedin photos""}"
enhance image for dating app photos,functionality,use_case_specific,0,0,use_case_template,enhance,"{""use_case"": ""dating app photos"", ""image_type"": ""dating app photos""}"
blur background for product photos,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""product photos"", ""image_type"": ""product photos""}"
blur background for portraits,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""portraits"", ""image_type"": ""portraits""}"
blur background for logos,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""logos"", ""image_type"": ""logos""}"
blur background for social media posts,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""social media posts"", ""image_type"": ""social media posts""}"
blur background for print,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""print"", ""image_type"": ""print""}"
blur background for web,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""web"", ""image_type"": ""web""}"
blur background for email marketing,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""email marketing"", ""image_type"": ""email marketing""}"
blur background for presentations,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""presentations"", ""image_type"": ""presentations""}"
blur background for linkedin photos,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""linkedin photos"", ""image_type"": ""linkedin photos""}"
blur background for dating app photos,functionality,use_case_specific,0,0,use_case_template,blur,"{""use_case"": ""dating app photos"", ""image_type"": ""dating app photos""}"
change background for product photos,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""product photos"", ""image_type"": ""product photos""}"
change background for portraits,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""portraits"", ""image_type"": ""portraits""}"
change background for logos,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""logos"", ""image_type"": ""logos""}"
change background for social media posts,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""social media posts"", ""image_type"": ""social media posts""}"
change background for print,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""print"", ""image_type"": ""print""}"
change background for web,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""web"", ""image_type"": ""web""}"
change background for email marketing,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""email marketing"", ""image_type"": ""email marketing""}"
change background for presentations,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""presentations"", ""image_type"": ""presentations""}"
change background for linkedin photos,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""linkedin photos"", ""image_type"": ""linkedin photos""}"
change background for dating app photos,functionality,use_case_specific,0,0,use_case_template,change_background,"{""use_case"": ""dating app photos"", ""image_type"": ""dating app photos""}"
change background to red,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""red"", ""hex"": ""#FF0000"", ""use_cases"": ""product photos, marketing""}"
change background to green,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""green"", ""hex"": ""#00FF00"", ""use_cases"": ""product photos, marketing""}"
change background to blue,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""blue"", ""hex"": ""#0000FF"", ""use_cases"": ""product photos, marketing""}"
change background to yellow,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""yellow"", ""hex"": ""#FFFF00"", ""use_cases"": ""product photos, marketing""}"
change background to orange,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""orange"", ""hex"": ""#FFA500"", ""use_cases"": ""product photos, marketing""}"
change background to purple,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""purple"", ""hex"": ""#800080"", ""use_cases"": ""product photos, marketing""}"
change background to pink,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""pink"", ""hex"": ""#FFC0CB"", ""use_cases"": ""product photos, marketing""}"
change background to gray,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""gray"", ""hex"": ""#808080"", ""use_cases"": ""product photos, marketing""}"
change background to navy,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""navy"", ""hex"": ""#000080"", ""use_cases"": ""product photos, marketing""}"
change background to teal,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""teal"", ""hex"": ""#008080"", ""use_cases"": ""product photos, marketing""}"
change background to brown,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""brown"", ""hex"": ""#A52A2A"", ""use_cases"": ""product photos, marketing""}"
change background to maroon,functionality,color_specific,0,0,color_template,change_background_color,"{""color"": ""maroon"", ""hex"": ""#800000"", ""use_cases"": ""product photos, marketing""}"
